ID,SMILES,Outcome
1,NC(=O)C1N=NN(CC2=CC(Cl)=C(C(=O)C3=CC=C(Cl)C=C3)C(Cl)=C2)C=1N,1.0
2,FC(F)(F)OC1=CC=C2N=C(C3=CC=C(OCCOCCOC4=CC=C(C5=NC6=CC=C(OC(F)(F)F)C=C6N5)N=C4)C=N3)NC2=C1,1.0
3,CC1=CC(C)=C(NC2=CC=NC(NC3=CC=C(C#N)C=C3)=N2)C(C)=C1,1.0
4,CC(C1CCCCC1)N1C(C2=CC3=C(OCO3)C=C2Br)=NC2=CC(C(=O)NC3=CC=C(C#N)C=C3)=CC=C12,1.0
5,COC1C=CC=C2C(NCC3=CC=CC=C3)=NC(N3C(N)=NC4=CC=CC=C34)=NC=12,1.0
6,COC1=CC=CC2=C1CCCC2CCCN1CCN(C2CCCCC2)CC1,1.0
7,C=CCNC1N=C(NCC=C)N=C(N2CCN(C(C3=CC=C(F)C=C3)C3=CC=C(F)C=C3)CC2)N=1,1.0
8,CC(C)CC(C=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)OCC1=CC=CC=C1,1.0
9,C#CCC(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C(=O)NC(CCC(=O)O)C(=O)O)C=C1,1.0
10,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1,1.0
11,CCCCCCCCCCCCCCCCCC[S+](CCC)C1=CC=CC=C1C(=O)OCC,1.0
12,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(CC(O)(C(C)=O)CC3OC3CC(N)C(O)C(C)O3)C(O)=C1C2=O,1.0
13,O=S(=O)(NCC1CC1)C1=CC=C(NC2N=CC=C(N3CCCC4=CC(O)=CC=C34)N=2)C=C1,1.0
14,Cc1cc(O)c2c3c4c5c(c2=O)c(O)cc(O)c5c2c5c(c(cc2O)O)c(=O)c2c(O)cc(C)c(c13)c2c45,1.0
15,NCCCCC(NC(CCC1=CC=CC=C1)C(=O)O)C(=O)N1CCCC1C(=O)O,1.0
16,CC1=CC=CC2=C1CCC(CN1CCC(C3=C(Cl)C=CC=C3Cl)CC1)CC2O,1.0
17,Nc1nc(=S)c2nc[n](C3OC(CO)C(O)C3O)c2[nH]1,1.0
18,CNC(=O)C1=CC(OC2=CC=C(NC(=O)NC3=CC=C(Cl)C(C(F)(F)F)=C3)C(F)=C2)=CC=N1,1.0
19,CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C(=O)NC(CCC(=O)O)C(=O)O)C=C1,1.0
20,COc1cc(OC)c2c(=O)[nH]c(C3=CC(C)=C(OCCO)C(C)=C3)nc2c1,1.0
21,CCN(CCO)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12,1.0
22,CC1N=CSC=1C1=CC=C(CNC(=O)C2CC(O)CN2C(=O)C(NC(=O)COCCOCCOCCNC(=O)CC2N=C(C3=CC=C(Cl)C=C3)C3=C(SC(C)=C3C)N3C(C)=NN=C23)C(C)(C)C)C=C1,1.0
23,C=CC(C)CC1NC(=O)C(CC(C)C)N(C)C(=O)C(C)N(C)C(=O)C(C(C)CC)NC(=O)C(C(O)C(C)C)NC(=O)C2CCCCN2C(=O)C(C)N(C)C1=O,1.0
24,CCC1=CC=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)N=C1,1.0
25,CC(C)CC(NC(=O)C(NC(=O)C1=CC=CC(C2=CC=CC=C2)=N1)C(C)O)B(O)O,1.0
26,COC1=CC=C(c2cc3c(C)nc(N)nc3[n](C3CCC(OCCO)CC3)c2=O)C=N1,1.0
27,CCN(CC)CCOC1CCC2(C)C(=CCC3C4CCC(=O)C4(C)CCC32)C1,1.0
28,CC1NC(C=C2C(=O)NC3=CC=CC=C23)=C(C)C=1CCC(=O)O,1.0
29,FC(F)(F)C1=CC=CC(NC2N=C(NCCOC3=CC=CC=C3)N=C3NC=NC=23)=C1,1.0
30,CC(CS)C(=O)N1CCCC1C(=O)O,1.0
31,CC1=NOC2=C1C1=CC=CC=C1C(C1=CC=C(Cl)C=C1)=NC2CC(N)=O,1.0
32,NC1=NC(N)=C2N=C(CNC3=CC=C(C(=O)NC(CCC(=O)O)C(=O)O)C=C3)C=NC2=N1,1.0
33,N=C(N)NC1=CC=C(C(=O)OC2=CC=C3C=C(C(=N)N)C=CC3=C2)C=C1,1.0
34,CCCCCCCCN=c1cc[n](CCCCCCCCCC[n]2ccc(=NCCCCCCCC)cc2)cc1,1.0
35,CCC(CC#N)OC(=O)NC(C)C1=CC=CC(NC(=O)NC2=CC=C(C3=CN=CO3)C(OC)=C2)=C1,1.0
36,CCC(C(=O)C(C)C(O)C(C)C1OC(C(CC)C(=O)O)CCC1C)C1OC2(C=CC(O)C3(CCC(C)(C4CCC(O)(CC)C(C)O4)O3)O2)C(C)CC1C,1.0
37,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1.0
38,S=C(NCC1=CC=C2C(OCO2)=C1)N1CCN(C2N=CN=C3C=2OC2=CC=CC=C23)CC1,1.0
